"","Paper1","paper2"
"¡°appropriate¡±",0,3
"¡°characterize",0,1
"¡°coldwarm¡±",0,1
"¡°colour",0,1
"¡°dislike",0,3
"¡°fashionable¡±",0,2
"¡°fatl",0,1
"¡°feedforward¡±",0,1
"¡°hardtomatch",0,2
"¡°heavy",0,1
"¡°hmatch",0,1
"¡°hourglass¡±",0,1
"¡°masculine",0,1
"¡°mean",0,1
"¡°official",0,3
"¡°passive",0,1
"¡°plain",0,1
"¡°slimlook",0,1
"¡°technological",0,1
"¡°technological¡±",0,2
"¡°tense",0,1
"¡°traditional",0,1
"¡°warm",0,3
"aaai",2,0
"abbreviated",1,1
"ability",0,3
"able",1,0
"absorbed",0,1
"abstracting",3,0
"academy",0,1
"acc",0,1
"accessed",1,0
"according",5,0
"accubens",0,1
"accuracy",0,2
"accurate",1,1
"achieved",1,1
"achieving",1,0
"acm",17,2
"acoustic",5,0
"acoustics",2,0
"across",1,6
"activates",0,1
"activation",1,1
"active¡±",0,1
"activepassive",2,2
"activities",1,0
"activities¡±",0,1
"add",1,0
"added",1,1
"additional",0,3
"additionally",0,6
"address",0,1
"addresses",0,1
"adjust",2,1
"adopt",4,1
"adopted",0,3
"advanced",0,4
"advancements",2,0
"advances",3,1
"advantages",0,2
"adversarial",8,0
"aesthetic",16,79
"aesthetics",1,8
"affect",4,4
"affected",0,1
"affecting",0,2
"affective",7,3
"affects",0,3
"after",1,2
"age",1,7
"aged",0,3
"aims",0,1
"alarco",1,0
"alexnet",1,0
"algorithm",0,16
"allow",0,2
"allows",1,1
"alone",0,1
"along",0,2
"already",4,1
"also",4,20
"although",0,1
"always",0,2
"amazon",0,3
"america",1,0
"american",0,3
"amg",0,1
"among",3,10
"amount",2,2
"amygdala",0,1
"analysis",13,48
"analyze",0,19
"analyzed",1,13
"analyzing",1,1
"and",3,2
"anger",3,0
"angle",3,4
"ankles",0,1
"annotate",1,0
"annotation",1,0
"annotations",8,2
"annual",1,0
"another",5,3
"anterior",0,2
"anticipation",2,0
"apart",1,0
"appearance",0,2
"apple",0,1
"application",11,16
"applications",10,4
"applied",2,8
"apply",0,3
"appraisals",1,0
"appreciate",0,1
"appreciation",1,8
"approach",12,1
"approaches",2,3
"approximated",1,0
"architecture",2,0
"area",0,9
"areas",0,6
"argue",0,1
"argument",1,0
"around",1,1
"arousal",7,1
"arouse",0,2
"aroused",0,2
"arrange",2,0
"arrow",0,1
"arrows",2,0
"art",2,5
"article",0,1
"articulation",1,0
"artif",1,0
"artificial",4,0
"artistic",0,2
"arts",0,4
"arxiv",14,6
"asked",0,2
"assess",0,2
"assessed",6,12
"assessment",0,1
"assisted",1,0
"associate",2,1
"associated",0,1
"association",1,2
"associations",0,1
"assume",0,1
"assumes",1,0
"assuming",0,1
"atmosphere",0,2
"attempt",0,4
"attempts",1,0
"attitude",0,1
"attributed",0,1
"attributes",1,0
"audio",2,0
"auditory",20,1
"augmented",0,1
"australia",1,2
"author",1,0
"automatic",7,6
"automatically",0,8
"automobile",0,1
"availability",3,0
"average",0,1
"avoid",0,1
"avoided",0,1
"axes",2,1
"axial",0,1
"axis",2,2
"background",1,1
"balance",1,1
"bandwidth",0,3
"based",20,18
"basic",4,4
"basically",0,1
"basis",1,1
"beauty",1,3
"because",0,1
"become",0,2
"becomes",0,1
"before",0,1
"began",2,0
"beginning",0,1
"behavior",0,1
"behavioral",1,0
"behaviors",0,1
"beke",0,2
"believed",1,0
"belong",2,0
"benchmark",1,0
"benchmarks",0,1
"benefits",0,1
"bengio",1,0
"berg",1,1
"besides",1,5
"best",0,4
"better",1,1
"bidirectional",2,1
"bigger",0,1
"bigru",2,0
"binary",2,0
"biobehavioral",0,2
"biological",1,1
"biology",0,1
"bipolar",1,0
"bischoff",1,0
"black",1,4
"blind",4,0
"blocks",0,4
"blood",0,2
"blue",0,6
"blue¨Cyellow",1,1
"boccia",0,1
"bodrogi",0,1
"body",0,5
"bogdanov",1,0
"bottom",1,0
"bottomup",0,3
"box",0,1
"brain",1,8
"brains",1,1
"branches",1,0
"brand",0,7
"brand¡¯s",0,1
"branding",0,1
"brands",0,4
"breakthrough",1,0
"bridge",2,3
"brightness",0,1
"bring",2,0
"britain",1,2
"british",1,2
"brought",2,0
"build",0,3
"building",2,1
"bundgaard",0,1
"but",0,3
"buy",0,2
"bykirsch",0,1
"calculate",0,1
"calculated",0,1
"calculating",0,1
"calibration",0,1
"called",0,3
"calm",1,0
"calmness",0,3
"came",0,2
"camera",0,1
"can",39,54
"canadian",1,2
"canziani",0,1
"capanoglu",0,1
"captured",1,0
"captures",0,1
"car",0,3
"carried",0,1
"carry",1,0
"cars",0,2
"cartesian",1,1
"cascaded",1,1
"case",0,1
"categorical",4,0
"categories",2,0
"categorization",1,0
"category",1,0
"cater",0,1
"center",0,2
"centers",0,3
"centre",2,4
"centroid",0,1
"ceramics",0,2
"certain",1,8
"challenge",0,4
"challenges",1,2
"change",2,3
"changes",0,1
"characteristic",0,1
"characteristics",1,1
"characterized",1,0
"chatterjee",0,2
"chen",3,1
"chesmore",1,0
"chew",1,0
"children",4,0
"china",1,2
"chinese",0,5
"choi",3,1
"choice",0,7
"chroma",1,3
"chromatic",0,3
"cie",10,25
"cielab",8,14
"cielch",2,2
"cingulate",0,1
"circle",1,1
"circuits",0,1
"circular",1,1
"circumference",1,1
"circumflex",1,0
"circumplex",3,0
"citeseer",2,1
"ciuha",1,0
"clarify",1,2
"classification",31,3
"classificationa",1,0
"classified",0,2
"classifier",1,0
"classify",3,5
"climate",0,1
"climbing",0,1
"clo",0,1
"clothes",0,2
"clothing",4,47
"cluster",0,3
"clustering",0,18
"clusters",0,2
"cmf",0,3
"cnn",4,0
"cnnbased",1,0
"cnnrnn",1,0
"cnns",12,0
"coefficient",0,2
"cognition",1,0
"cognitive",3,4
"coldwarm",0,3
"colleagues",1,1
"collect",0,8
"collection",1,0
"color",82,247
"color©emotion",0,1
"colorbased",1,0
"colored",0,3
"coloring",2,0
"colorization",11,0
"colors",18,161
"colour",16,27
"colours",3,1
"comaniciu",0,1
"combination",2,5
"combinations",3,39
"combine",2,0
"combined",0,1
"combines",0,1
"combing",0,2
"combining",1,1
"coming",0,3
"commission",1,1
"commodity",0,1
"common",2,5
"communications",1,1
"companies",0,2
"comparative",1,0
"compare",0,1
"compared",3,3
"compares",1,1
"comparison",3,3
"comparisons",0,1
"competent",0,1
"competitiveness",0,2
"competitors",0,2
"complex",0,1
"complexity",0,2
"components",1,2
"compose",2,0
"composition",1,0
"compositions",1,0
"comprehend",0,1
"comprehensive",0,2
"compressed",0,1
"computability",1,0
"computational",1,3
"computations",0,1
"computer",8,10
"computergenerated",0,1
"computing",0,1
"concatenated",1,0
"concepts",1,0
"conceptualization",2,0
"concerned",0,2
"concurrent",1,0
"conditional",1,0
"conditions",0,1
"conf",1,0
"conference",18,3
"confidence",0,1
"confirm",1,4
"confirmed",1,2
"confirming",4,0
"conjunction",0,1
"connection",1,1
"consecutive",0,1
"consecutively",0,1
"consensus",0,1
"consider",1,1
"consideration",1,3
"considered",1,2
"consistent",0,1
"consisting",2,0
"consists",7,16
"consolidates",0,1
"constrained",1,0
"construction",2,0
"consumer",2,2
"consumers",0,3
"consumers¡¯",0,7
"containing",1,1
"contempt",1,0
"content",4,0
"contentbased",3,0
"contents",10,0
"context",2,9
"contexts",1,1
"contrary",0,1
"contrast",0,1
"contribute",0,1
"controlling",0,2
"convergence",0,1
"converges",0,1
"conversion",1,1
"converts",0,1
"convolution",3,0
"convolutional",17,3
"convolutions",1,2
"coordinates",2,2
"corr",0,1
"correlated",1,0
"correlation",2,4
"correspond",1,0
"corresponding",2,8
"corresponds",1,2
"cortex",0,3
"cortices",0,1
"costfree",0,1
"costumes",0,3
"couch",0,1
"could",1,1
"couleur",1,2
"council",1,2
"crawler",0,3
"create",2,2
"created",1,0
"creating",0,1
"creation",0,1
"creative",0,1
"creativity",0,2
"creswell",1,0
"criteria",0,1
"critical",0,1
"critique",0,1
"crnns",1,0
"cropping",0,1
"cross",0,1
"cross©regional",1,1
"crosscultural",0,1
"crossregional",1,1
"crosssensing",2,0
"cross©cultural",0,1
"cube",1,1
"cues",0,1
"cultural",1,3
"culurciello",0,1
"cup",0,3
"cups",0,9
"current",0,3
"customers",0,2
"customers¡¯",0,2
"cutting",2,0
"cvpr",2,2
"cylindrical",1,1
"cytowic",1,0
"daily",1,1
"dance",0,1
"dark",0,2
"darker",0,1
"data",12,13
"dataset",2,0
"datasets",3,0
"deaf",4,0
"deal",0,1
"decade",0,1
"decades",0,1
"decided",0,1
"decision",1,1
"decisions",0,3
"decorative",0,3
"deep",13,13
"deeper",1,1
"defined",2,3
"degree",1,2
"delbouys",1,0
"demonstrate",0,1
"demonstrated",2,0
"deng",2,1
"dengler",0,1
"density",0,6
"depended",0,1
"dependency",1,0
"depends",0,1
"derivative",0,1
"describe",1,2
"described",1,1
"describes",1,0
"design",6,8
"designed",3,3
"designer",4,0
"designers",0,1
"designing",0,5
"designs",0,1
"detect",2,4
"detecting",0,1
"detection",12,4
"determine",0,1
"determines",0,1
"developed",2,3
"development",2,2
"developments",1,1
"device",4,1
"difference",0,13
"differences",0,16
"different",21,37
"differentiates",0,1
"differentiating",0,1
"differs",0,1
"difficult",0,1
"difficulty",1,0
"digital",1,1
"dimensional",6,0
"dimensions",7,0
"direct",2,1
"directed",1,0
"direction",0,1
"directly",0,4
"discipline",0,3
"discontinuity",0,1
"discover",0,1
"discovery",0,1
"discrete",6,3
"discriminator",2,0
"discussion",0,1
"disgust",2,0
"dislike",0,7
"disliked",0,2
"display",0,2
"displayed",0,1
"distinct",0,1
"distinguish",3,0
"distinguishable",1,0
"distress",1,0
"distributed",2,7
"distribution",1,0
"distributions",1,1
"document",1,0
"doll",1,1
"domain",0,1
"dominant",0,2
"done",1,3
"drawing",0,1
"driving",1,0
"dunker",1,0
"during",0,3
"dutch",1,2
"dynamics",1,0
"each",2,1
"early",0,1
"easy",0,1
"easytomatch",0,1
"easytomatch¡±",0,2
"eating",1,0
"eba",0,1
"eccv",1,1
"editing",0,1
"effect",0,4
"effective",1,3
"effects",0,2
"efforts",1,0
"eight",1,1
"either",0,1
"ekman",1,0
"ekman¡¯s",1,0
"electronic",0,2
"element",1,0
"ematch¡±",0,1
"embodied",0,1
"emerging",0,2
"emotion",87,17
"emotion¡±",0,1
"emotional",9,2
"emotionbased",2,2
"emotions",45,27
"emphasis",1,0
"empirical",4,1
"employing",1,0
"enable",0,1
"encounter",1,0
"endorsed",1,2
"endtoend",1,1
"energy",0,2
"engineering",0,1
"enhance",0,2
"entities",0,1
"environment",2,7
"environmental",4,6
"environments",1,12
"episode",1,1
"equal",1,5
"equation",0,1
"equations",0,3
"especially",0,3
"establish",0,9
"established",2,4
"estimate",0,3
"estimating",0,1
"estimation",5,5
"estimator",0,1
"evaluate",1,5
"evaluation",2,6
"even",3,4
"events",1,0
"every",0,4
"evidence",0,1
"evoke",4,1
"evoked",1,0
"evolution",0,1
"evolutionary",0,1
"exact",1,0
"example",1,10
"examples",1,1
"exceptionally",0,2
"excited",1,0
"excitement",0,3
"exciting",0,1
"excluding",0,1
"exercising",1,0
"existing",0,6
"exists",0,1
"exiting",0,1
"expanded",0,1
"experience",3,5
"experiences",1,1
"experiment",5,10
"experimental",0,4
"explained",0,1
"explaining",1,0
"exploitation",1,0
"exploring",1,0
"expresses",1,1
"expression",1,0
"extend",0,1
"extended",0,1
"extension",0,4
"extent",0,1
"extract",6,13
"extracted",3,2
"extracting",1,1
"extraction",8,6
"extractor",2,0
"extrastriate",0,1
"extremely",0,2
"eyes",0,1
"fabric",0,8
"fabrics",0,5
"face",1,1
"facial",1,0
"fact",2,0
"factors",0,7
"fairly",0,2
"fake",2,0
"fantastical",0,1
"fashion",1,13
"faster",1,6
"fatlook",0,1
"fatlook¡±",0,1
"favor",0,2
"favorable",0,4
"fazekas",1,0
"fear",3,0
"feature",7,6
"features",25,21
"feed",0,1
"feedback",0,1
"feedforward",3,17
"feel",1,1
"feeling",1,3
"feelings",2,5
"female",0,20
"female£¬finally",0,1
"females",1,5
"feminine¡±",0,1
"field",0,1
"fields",2,0
"figure",22,53
"fill",0,3
"film",2,0
"filtering",0,1
"filters",1,0
"final",0,4
"finally",3,7
"find",1,9
"findings",0,1
"fine",1,1
"finish",0,6
"first",3,6
"firstly",3,9
"fitting",0,1
"five",2,1
"flic",0,1
"floral",0,1
"flow",0,2
"focus",3,6
"focused",0,2
"focuses",2,3
"followed",0,1
"following",3,1
"follows",0,1
"fonseca",1,0
"for",0,6
"forced",0,2
"forever",0,1
"form",0,3
"former",0,2
"forming",0,1
"forms",2,0
"formulas",1,1
"forth",1,0
"found",1,1
"foundation",1,2
"foundations",0,2
"four",3,4
"fourthly",0,2
"framework",2,0
"frameworks",1,0
"franais",1,2
"frequency",1,2
"frequencyinverse",1,0
"from",2,2
"frontal",0,1
"frontiers",1,1
"full",0,2
"function",0,4
"funk",0,1
"furniture",0,3
"furthermore",4,6
"fusion",1,0
"fuzzy",0,1
"gamma",0,1
"gamut",3,3
"gan",1,0
"gans",3,0
"gao",1,0
"gap",2,4
"gaussian",1,2
"gaussians",1,0
"gender",0,8
"genders",0,2
"general",1,4
"generalize",0,1
"generally",0,3
"generate",0,1
"generated",6,0
"generation",5,0
"generative",9,0
"generator",2,0
"generic",1,0
"genre",3,0
"geographic",0,1
"get",0,1
"give",2,0
"given",4,4
"giving",0,1
"glass",0,2
"gmm",1,0
"going",1,2
"good",0,1
"goodfellow",2,0
"gradation",1,0
"gradient",1,43
"gradients",0,4
"graphics",0,2
"gray",0,2
"graylevel",0,1
"great",3,7
"green¨Cred",0,1
"greenred",1,0
"group",1,2
"groups¡¯",0,1
"gru",1,0
"guan",0,1
"guilt",1,0
"gxi",0,1
"hanbury",1,0
"hand",0,2
"handcrafted",5,0
"hansen",1,0
"happiness",1,0
"haptic",0,1
"hard",0,3
"harder",0,1
"hardtomatch",0,1
"hardtomatcheasytomatch",0,5
"harmonic",1,0
"harmonious",0,3
"harmony",6,3
"headset",0,1
"hear",4,0
"hearing",2,0
"heart",0,1
"heat",0,2
"heatmap",0,1
"heatmaps",0,1
"heavylight",2,5
"heekim",0,1
"height",0,2
"help",6,3
"hence",5,11
"here",0,2
"hidayetoglu",0,1
"hierarchical",3,20
"hierarchies",1,0
"high",2,0
"higher",0,1
"highlevel",3,0
"hill",0,1
"hillenbrand",0,1
"hinton",3,1
"history",1,1
"hll",0,1
"home",0,13
"hopkins",0,1
"horizontal",1,1
"hourglass",1,16
"house",0,2
"housekeeping",1,0
"how",1,1
"however",3,5
"hsiao",1,0
"hsu",0,1
"hue",2,3
"hui",1,0
"human",8,12
"human¡¯s",0,1
"humanity",0,1
"humanized",2,0
"humans",1,0
"hurlbert",0,2
"hutchinson",1,0
"hybrid",1,0
"hypothetical",0,2
"iaps",2,0
"icassp",3,0
"icsp",1,0
"identical",1,0
"identifies",3,0
"identifying",2,0
"identity",0,5
"ieee",13,6
"ignore",3,0
"iii",1,1
"ijcai",1,0
"illumination",1,1
"illustrate",0,4
"illustrated",0,1
"illustrates",1,0
"illustration",0,1
"imacs",0,1
"image",59,19
"imagenet",2,1
"images",7,24
"imagine",0,1
"imaging",0,1
"immersion",0,1
"immersive",0,1
"impact",1,3
"implemented",0,1
"implicated",0,1
"implications",0,2
"implying",0,1
"importance",0,1
"important",3,10
"improve",0,6
"improvement",0,2
"inch",0,1
"include",0,1
"included",0,2
"including",12,12
"incorporates",0,1
"increase",0,1
"increased",0,1
"increases",0,1
"increasing",0,1
"independent",0,3
"indexing",0,2
"indicate",0,1
"indicated",2,1
"indicates",0,4
"individual",2,0
"individual¡¯s",1,0
"indoor",0,1
"induced",1,1
"industrial",0,6
"infer",1,0
"inference",1,4
"inferior",0,1
"influence",0,3
"influenced",1,1
"influences",0,3
"influencing",0,2
"informaion",1,0
"information",8,3
"informationprocessing",0,1
"informative",1,0
"inherent",1,10
"initial",0,1
"innovative",1,0
"input",2,0
"inputs",2,0
"insight",0,1
"insights",0,1
"inspired",3,1
"instead",2,1
"institute",0,1
"instruction",1,0
"instruments",2,0
"insula",0,1
"int",1,0
"integrate",1,0
"integration",4,1
"integrative",0,1
"intell",1,0
"intelligence",4,3
"intelligent",1,1
"intended",1,0
"intention",0,2
"intentionalitya",0,1
"interacting",1,1
"interactions",0,1
"interactive",0,1
"interactivity",0,1
"interest",1,0
"interference",0,2
"interior",0,3
"interiors",0,1
"inter©Society",1,2
"intermediate",0,6
"internal",4,3
"international",17,2
"internet",0,1
"interpolated",0,1
"interpolation",0,1
"intersection",0,1
"inversely",1,0
"investigate",0,15
"investigated",0,2
"investigates",1,1
"investigating",0,1
"investigation",1,22
"involuntary",1,0
