Date,North_America,Africa,South_America,Asia,Europe
2002/6/30,23,7.9,7.9,13.2,9.3
2002/7/30,19.9,7.5,7.1,12.5,8.5
2002/8/30,21,7.9,7.6,12.5,8
2002/9/30,22.1,5.9,8.3,13.9,8.2
2002/10/30,25.1,6.1,9.4,14.4,10.7
2002/11/30,27,6,9.7,14.1,12.3
2002/12/30,19.8,8.7,10.2,12.2,10.7
2003/1/30,19.9,8.8,10.3,12.5,11.4
2003/2/28,19.4,8.6,10.2,12.2,11.4
2003/3/30,21.6,6,8.6,13.3,10.9
2003/4/30,24.4,6.4,9.3,12.9,11.5
2003/5/30,24.7,6.5,8.9,12.8,12.1
2003/6/30,23.5,7.1,8.2,12.5,8.1
2003/7/30,23.4,6.6,8.3,12.2,8.2
2003/8/30,24.6,6.5,7.8,11.8,8.5
2003/9/30,24.9,2.8,8,10.5,8
2003/10/30,27.4,3,8.8,10.9,9.4
2003/11/30,26.5,2.9,8.5,11,9.1
2003/12/30,26.7,1.6,9.6,11.2,10.5
2004/1/30,27.1,1.6,10,11.9,10.7
2004/2/29,28.7,1.7,10.6,12.5,10.7
2004/3/30,31.6,2,9.3,11.4,13.2
2004/4/30,30.9,2,8.9,11.5,12.7
2004/5/30,31.6,2.1,9.1,11.4,13.4
2004/6/30,28.7,3.9,9.9,11.6,12.4
2004/7/30,26.9,3.8,9.8,11.2,11.9
2004/8/30,27.3,4,10.6,11.8,12.1
2004/9/30,34.4,3.8,10.9,11.5,12
2004/10/30,34.8,3.6,10.9,11,12.1
2004/11/30,35.6,3.5,10.9,10.9,12.7
2004/12/30,33.6,5.7,10.6,13.6,9.1
2005/1/30,32,5.7,10,13.1,8.8
2005/2/28,31.2,5.5,9.7,13.1,8.8
2005/3/30,31.1,4.8,9.6,13,11.7
2005/4/30,29.7,4.5,9.4,13.3,11.1
2005/5/30,31.5,4.6,9.8,13.5,12
2005/6/30,31.8,4.4,12.1,12.8,10.7
2005/7/30,33,4.5,12.1,12.9,10.8
2005/8/30,31.3,4.4,12.3,12.8,10.8
2005/9/30,33.1,3.8,8.8,9.7,17.2
2005/10/30,32.8,3.8,8.6,9.3,15.9
2005/11/30,33.5,3.8,9.1,9.4,16.4
2005/12/30,27,7.3,13,14.3,12.6
2006/1/30,27.4,7.3,13.4,14.2,13.2
2006/2/28,27.4,7.1,13.6,14,12.9
2006/3/30,26.3,8.4,6.9,15.2,21
2006/4/30,26.4,8.4,7,14.4,21.4
2006/5/30,26.8,8.2,6.7,13.9,21.1
2006/6/30,23.9,5.5,5.6,15.6,26.6
2006/7/30,23.2,6.1,5.6,16.2,24.8
2006/8/30,23,6.1,5.5,16,25.5
2006/9/30,28,4.6,6.9,14.2,26.4
2006/10/30,29.1,4.6,7,14.1,26.5
2006/11/30,28.6,4.3,6.8,13.4,26.4
2006/12/30,22.8,6.8,9,13,28.2
2007/1/30,22.4,7.2,9.2,13.2,28.9
2007/2/28,22.3,7.1,8.9,13.3,29.5
2007/3/30,17.6,10.6,10.3,16,28.2
2007/4/30,16.8,10.9,10.1,16.3,27.7
2007/5/30,16.2,10.9,10.1,16.2,27.5
2007/6/30,18.7,8.3,10.6,17.6,28.8
2007/7/30,18.8,8.1,10,17.9,29.1
2007/8/30,19.8,8.3,9.8,18,28.2
2007/9/30,17.1,8.5,10.6,15.6,33
2007/10/30,16.1,8.5,9.9,15.5,34.1
2007/11/30,15.1,8.7,9.4,15.7,32.5
2007/12/30,17.2,6.9,8.4,19.2,30.6
2008/1/30,17.3,7,9,19.7,28.6
2008/2/29,16.3,7.1,8.3,19,28
2008/3/30,19.2,4.4,8.9,18.7,27.4
2008/4/30,18.4,3.9,8.7,17.5,28.5
2008/5/30,17.8,3.7,7.8,16.5,29.3
2008/6/30,15.5,6.8,7,18.1,29.2
2008/7/30,15.3,6.4,7,18.9,28.1
2008/8/30,15.7,6.4,6.8,18.2,28.1
2008/9/30,13.3,5.5,6.7,16.3,25.5
2008/10/30,11.9,5.3,6.1,14.6,21.2
2008/11/30,12.1,5.3,5.6,14.7,20.3
2008/12/30,15.7,4.1,5.5,13.9,15.9
2009/1/30,14.7,4.1,4.7,14.4,17.2
2009/2/28,15.4,4.2,4.5,13.7,17.1
2009/3/30,13.8,7,5.7,10.9,22.2
2009/4/30,14.6,7,5.8,9.8,24.5
2009/5/30,14.3,7,5.8,10.1,25.1
2009/6/30,16.2,6.1,7.3,11.8,16.6
2009/7/30,15.9,6.1,7.5,11.8,17.2
2009/8/30,16.6,6.1,7.8,11.3,17.3
2009/9/30,18.8,4.8,10.4,10.9,25.5
2009/10/30,16.8,4.7,9.1,9.7,23
2009/11/30,19.4,4.5,9.7,11,25.6
2009/12/30,23,6,10.9,13.3,24.1
2010/1/30,23.6,6.3,11.3,14.6,23.2
2010/2/28,25.7,6.6,11.8,14.6,24.4
2010/3/30,26.9,6.2,8.3,13.9,35.5
2010/4/30,25.9,5.9,8,12.2,33.8
2010/5/30,24.7,5.6,7.5,11.7,30.4
2010/6/30,25.9,1,8.3,13.1,30
2010/7/30,29.5,1.1,9.4,13.6,33.3
2010/8/30,27.4,0.9,8.7,13.8,32
2010/9/30,29.1,1.2,9.7,13.8,30.5
2010/10/30,28.5,1.3,10.2,14,32.4
2010/11/30,28.5,1.3,9.8,13.7,31.5
2010/12/30,29.4,1.3,10.3,13.7,31.5
2011/1/30,25.8,0,16.8,20,41.8
2011/2/28,28.7,0,17.5,21,45.6
2011/3/30,22.1,0,16.7,22.7,40
2011/4/30,25.1,0,18,25.5,43.8
2011/5/30,23.7,0,16.6,24.9,39.9
2011/6/30,23.4,0,15.8,24.2,37.7
2011/7/30,23.2,0,14.8,22.1,35.8
2011/8/30,31.6,0,24.8,16,48.6
2011/9/30,31.5,4.5,18.4,15.4,42.8
2011/10/30,26.7,3.6,15.3,12.6,35.6
2011/11/30,27.3,3.9,15,13,35.3
2011/12/30,20.2,5.5,16.1,15.8,31.6
