time,a,b,c,d,e,f,g,h,i,j,k,l,m,n
1,19,745,734,1000,236,125,228,655,353,782,274,154,430,239
2,25,812,694,1023,223,112,240,587,349,779,232,173,409,262
3,17,669,739,983,192,140,226,623,381,789,247,152,311,213
4,20,447,736,793,191,95,197,517,329,658,240,135,269,218
5,27,397,685,821,190,131,195,561,423,675,254,73,370,206
6,13,389,621,837,183,102,216,545,452,833,225,109,603,188
7,16,384,708,792,228,144,190,636,478,786,202,77,545,222
8,23,446,685,853,198,143,213,584,450,675,187,110,583,186
9,25,386,667,791,231,130,187,559,398,636,220,124,408,213
10,39,417,693,739,153,96,224,504,339,691,161,113,391,226
11,11,482,672,701,129,117,184,547,351,694,217,192,384,273
12,20,580,653,715,168,151,200,564,293,639,167,196,365,178
13,11,836,911,908,194,161,232,734,428,806,197,188,463,194
14,27,826,902,990,189,109,235,724,423,821,243,193,298,209
15,14,683,954,1037,193,148,211,652,456,817,200,267,355,181
16,24,596,855,820,232,148,232,655,341,744,220,140,369,216
17,34,478,903,875,178,164,191,652,390,731,172,109,361,206
18,26,443,956,955,242,163,249,694,476,821,246,130,525,187
19,17,447,1054,833,236,206,289,731,513,813,228,113,548,191
20,18,522,1023,928,226,210,256,790,595,767,241,141,540,243
21,23,489,996,936,214,219,268,810,455,900,225,101,438,256
22,32,535,1065,941,321,233,281,910,486,903,239,118,429,247
23,20,670,1108,1046,302,241,320,946,516,935,256,145,420,234
24,27,785,1172,1074,310,275,258,921,483,938,277,192,419,249
25,33,1211,1377,1212,368,263,267,1120,586,947,304,195,486,263
26,35,1060,1296,1264,331,279,318,973,590,973,339,187,508,250
27,28,1009,1367,1269,313,266,287,964,540,976,314,269,477,217
28,33,855,1322,1222,280,257,292,951,493,953,268,151,447,255
29,25,626,1194,1138,257,260,340,983,533,1022,264,89,484,264
30,35,593,1187,1240,274,255,373,1079,638,1034,335,89,561,246
31,19,594,1185,1132,270,264,345,1075,671,999,356,114,645,249
32,32,654,1108,1170,221,270,343,926,660,884,353,125,596,271
33,42,615,1076,1171,235,231,299,1007,562,885,281,92,530,266
34,36,680,1046,1212,262,211,312,962,517,956,272,97,499,275
35,32,758,1115,1242,233,220,337,1029,493,978,284,137,468,297
36,45,941,1188,1150,243,255,322,1038,558,922,241,120,446,327
37,54,1196,1302,1342,331,243,327,1112,559,1049,304,159,571,324
38,41,1173,1229,1238,316,321,310,1140,576,1145,331,172,483,304
39,46,987,1222,1179,319,267,357,1190,518,1035,370,161,526,279
40,41,772,1199,1201,274,268,323,1076,611,986,331,154,440,248
41,40,715,1150,1247,260,251,320,1105,618,955,339,133,478,271
42,36,710,1232,1434,300,239,358,1092,769,1048,359,94,704,295
43,43,677,1193,1387,289,224,284,1021,697,1020,405,113,749,270
44,20,650,1186,1161,255,224,342,881,760,1050,373,173,745,302
45,25,681,1175,1229,255,248,305,975,649,978,338,98,556,287
46,31,651,1041,1189,260,182,303,1014,639,933,378,136,500,338
47,34,690,1034,1156,275,257,311,948,662,990,357,148,542,308
48,32,813,1025,1081,267,224,283,948,620,885,278,137,516,299
49,31,994,1110,1389,243,236,403,1070,662,1097,322,184,511,302
50,24,1039,1094,1369,291,194,363,964,608,987,366,168,490,260
51,22,1011,1083,1386,284,216,343,999,584,1039,366,153,530,260
52,34,849,1004,1248,239,168,312,752,589,925,347,107,433,242
53,22,665,966,1183,230,190,302,819,570,977,310,99,468,287
54,27,668,957,1182,227,172,335,814,769,1189,326,106,580,306
55,28,610,1019,1163,231,174,307,790,725,965,346,140,741,291
56,10,563,840,1079,236,191,312,845,647,1010,341,103,676,324
57,8,629,852,1127,208,178,374,750,593,854,301,88,568,362
58,15,635,884,1138,219,185,358,781,526,853,300,102,561,301
59,20,695,905,1045,217,187,290,872,570,916,294,131,514,353
60,16,870,872,1058,204,173,290,875,562,850,276,165,499,341
61,29,1079,889,1302,276,168,252,958,613,993,290,153,555,346
62,25,1150,889,1301,245,204,301,916,619,1008,325,107,472,363
63,32,961,879,1173,267,177,261,807,614,967,308,139,468,312
64,19,693,793,1131,257,178,255,714,591,882,306,84,478,273
65,16,567,743,1145,223,145,288,730,648,944,314,66,453,299
66,25,559,743,1197,247,160,307,743,667,950,291,76,681,268
67,22,509,883,1194,222,142,309,804,635,929,274,69,683,282
68,12,561,767,1130,187,156,300,728,644,844,306,100,664,249
69,12,572,775,1038,211,168,260,862,658,842,307,127,568,282
70,2,519,800,1050,251,162,255,748,628,796,319,85,502,255
71,18,564,823,1013,199,172,268,711,677,966,300,118,494,319
72,23,813,757,968,202,128,204,788,529,930,269,127,393,327
73,26,868,778,1203,287,105,233,825,593,910,308,140,457,341
74,25,836,821,1141,260,119,268,841,528,1040,281,139,472,332
75,14,820,701,1022,263,116,298,824,563,917,292,117,461,300
76,17,674,745,972,272,132,293,644,558,882,266,81,414,334
77,20,647,680,1025,226,158,289,695,543,830,265,79,429,251
78,31,569,635,1085,225,114,299,753,617,942,265,35,578,245
79,25,633,736,1083,237,103,329,735,659,867,305,55,659,291
80,32,618,680,977,217,132,263,681,611,855,341,76,595,306
81,14,586,632,1008,183,170,235,736,576,810,310,78,396,299
82,15,456,618,972,206,116,211,768,531,795,268,77,424,275
83,22,618,702,1018,183,137,229,658,536,836,306,125,400,257
84,25,725,660,965,190,108,227,791,502,701,306,139,395,287
85,35,922,752,1166,248,143,233,885,563,911,275,128,476,376
86,33,1086,774,1045,251,139,295,825,489,879,257,127,405,300
87,24,924,742,896,249,109,252,775,495,845,222,123,419,311
88,17,853,749,872,188,77,231,689,555,822,224,67,408,240
89,22,676,651,795,216,110,281,743,622,831,242,64,428,276
90,33,600,653,979,242,114,303,722,653,917,256,59,572,258
91,33,617,621,1089,309,112,307,743,665,920,243,40,704,324
92,33,558,596,1028,205,140,371,683,648,877,239,54,695,315
93,25,596,673,1027,224,124,316,655,630,892,257,53,525,304
94,9,641,729,907,218,120,307,675,534,911,182,47,492,338
95,16,645,762,893,242,132,261,679,526,986,255,80,482,336
96,24,968,772,1009,210,125,315,803,521,961,235,96,451,326
97,28,1099,837,1120,271,169,285,893,576,1176,264,113,471,338
98,16,1118,820,1007,289,193,323,866,562,1056,313,135,372,340
99,28,1170,831,992,267,155,323,876,609,944,283,175,425,346
100,28,1057,796,919,245,143,324,736,551,874,251,108,373,338
101,28,809,879,1049,269,170,361,829,619,1074,275,94,461,366
102,28,785,862,1160,329,157,337,890,669,1154,322,86,654,364
103,13,783,908,1329,359,141,350,866,776,1172,352,125,770,345
104,17,814,960,1366,309,144,409,961,844,1122,412,111,721,378
105,25,970,984,1277,337,166,380,951,835,1029,374,84,573,414
106,15,1078,1007,1313,316,168,434,1052,797,1126,334,97,552,396
107,32,1237,1144,1397,331,173,494,992,748,1283,434,119,527,411
108,46,1438,1315,1535,421,219,540,1147,791,1210,367,229,511,559
109,59,1744,1711,1794,522,232,571,1445,792,1487,431,245,652,659
110,63,2025,1822,1847,563,224,637,1512,847,1477,453,251,563,586
111,105,1979,1912,1852,558,252,639,1597,931,1484,377,241,598,625
112,125,1737,1968,1833,541,320,561,1448,964,1322,403,176,575,488
113,98,1768,2010,1835,506,303,536,1514,1005,1599,476,136,702,530
114,100,1601,2010,1863,499,347,513,1580,1267,1688,557,182,991,472
115,95,1687,1988,1854,511,373,570,1531,1269,1600,490,180,1129,552
116,93,1542,1866,1794,547,358,566,1560,1239,1636,528,195,1118,569
117,76,1594,1876,1809,538,362,657,1596,1257,1469,462,150,928,636
118,84,1744,1884,1919,480,261,646,1488,1280,1604,541,166,785,610
119,96,1780,1882,1879,493,243,619,1514,1168,1524,491,180,748,592
120,89,2044,1747,1851,539,256,665,1486,1183,1624,513,292,797,609
121,68,2194,1918,2154,657,313,623,1614,1175,1804,609,318,948,730
122,79,2440,1814,2071,591,300,708,1740,1200,1597,603,285,880,680
123,73,2251,1898,2097,569,322,717,1785,1101,1571,517,266,881,639
124,69,1919,1688,1967,530,302,708,1586,1051,1633,515,232,769,594
125,46,1755,1584,1998,461,319,618,1624,1150,1601,498,163,771,600
126,64,1785,1519,1900,434,291,631,1465,1339,1609,532,176,966,534
127,79,1528,1556,2023,537,344,582,1447,1420,1570,469,134,1187,614
128,93,1483,1463,1909,440,302,606,1524,1430,1507,530,114,1292,638
129,66,1464,1471,1962,418,330,568,1426,1352,1536,534,164,1089,580
130,89,1445,1474,1888,404,300,590,1525,1263,1458,554,176,950,557
131,68,1596,1526,1883,434,268,590,1521,1298,1634,545,223,949,591
132,83,1749,1551,1698,428,244,568,1477,1139,1580,491,278,950,650
133,66,1879,1519,1866,498,228,647,1511,1264,1788,513,236,1088,685
134,41,1883,1492,1889,499,205,636,1469,1198,1783,546,270,927,601
135,46,1695,1475,1796,562,236,649,1488,1152,1695,495,216,888,540
136,28,1501,1444,1776,500,218,621,1340,1088,1482,564,182,778,565
137,32,1367,1453,1845,483,227,612,1429,1242,1402,536,131,836,636
138,46,1317,1405,1995,504,245,607,1349,1228,1483,553,144,1232,589
139,53,1137,1418,1916,486,237,552,1389,1263,1510,554,166,1349,653
140,53,1154,1365,1851,537,204,565,1440,1371,1399,585,135,1271,668
141,55,1110,1306,1882,458,209,501,1509,1241,1492,613,169,1013,643
142,69,1129,1200,1764,462,195,524,1495,1221,1448,618,198,924,612
143,76,1100,1176,1726,423,225,557,1340,1132,1451,535,222,964,523
144,59,1327,1217,1701,399,235,514,1403,1201,1395,505,215,892,539
145,78,1479,1283,1906,400,227,462,1441,1214,1647,601,259,890,582
146,66,1404,1294,1824,440,247,498,1590,1197,1496,461,290,848,579
147,62,1431,1164,1763,383,232,536,1521,1172,1395,447,232,787,543
148,43,1156,1046,1603,453,243,505,1322,1058,1290,478,233,786,484
149,47,1150,1099,1654,480,230,462,1296,1172,1326,501,148,899,503
150,52,1039,1056,1709,437,201,510,1356,1368,1407,492,133,1079,524
